User Story ID,Journey phase,Journey step,Epic Code,Epic,Jobs to be Done (Epic Description),User Story Title,User Story Description,Acceptance Criteria,Roadmap,Priority,Miro Status,Reach,Impact,Inisght Confidence,Confidence,Effort,RICE Score,Related Services,Stakeholders,Project Dependencies,Technology
1.10.1.a,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Okta Fastpass,"As a student using Okta FastPass, I want to log in passwordlessly through the Okta app so that I don’t need to repeat MFA or manually enter my credentials.","When FastPass is available, the login flow automatically redirects to Okta FastPass verification.
FastPass satisfies MFA requirements without additional user action.
Login completes without entering username or password.
If FastPass is unavailable or fails, the system falls back to username + password + MFA (Okta Verify).
Users can still choose alternative login methods when FastPass isn’t appropriate.",MVP,2,Complete,1,4.67,0.4,0.5,2.4,0.97292,,,Cyber Security,"Browser Local Storage/Cookies, Okta."
1.10.1.b,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Passkey,"As a student who has set up a Passkey, I want to log in using device-stored secure credentials so that I can authenticate quickly without typing my username or password.","When a Passkey is detected, the system initiates Passkey authentication automatically.
The username associated with the Passkey is prefilled before the authentication flow begins.
Successful Passkey authentication logs the user in without entering username or password.
If Passkey authentication fails or the user cancels, the system falls back to traditional login (username + password).
Users can opt out of using Passkey and choose another method.",MVP,2,Complete,1,4.67,0.4,0.5,1,2.335,,,Cyber Security,"Okta Identity Cloud (FastPass configuration), Okta Verify App."
1.10.1.c,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Persist login state in one same session,"As a student, I want my authenticated session to persist while moving between authenticated and unauthenticated content within the University ecosystem, so I’m not logged out unexpectedly.","A valid authenticated session remains active while navigating between every authenticated pages and unauthenticated (public) pages within University-managed domains.
Returning to an authenticated page during an active session does not require re-login.
Session persists as long as the user does not log out and the session has not expired.
If the session expires, the system prompts the user to re-authenticate.",MVP,2,To Do,1,4.67,0.4,0.5,2.4,0.97292,,,Cyber Security,Okta (SAML/OIDC integrations across target apps).
1.10.1.d,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Reasonable token life time,"As a student, I want my authentication token to last long enough to avoid constant interruptions but still be secure, so I can work smoothly without repeated logins.",,MVP,2,To Do,1,4.67,0.4,0.5,2.4,0.97292,,,Cyber Security,"Okta, WebAuthn / FIDO2 standards."
1.10.1.e,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Remember me,"As a student, I want my username to be remembered on this browser so that logging in again is faster, unless I deliberately log in with a different account.","When “Remember me” is selected, the username is stored in a browser cookie.
On the next visit, the login page automatically pre-fills the stored username.
If a preferred login method (e.g., Passkey / FastPass) is available, the system prompts that method first; otherwise prefilled username and password fields are shown.
If the user logs in with a different valid username, the stored username updates to this new value.
Username is only remembered on the specific browser/device where it was saved.",MVP,2,Complete,1,4.67,0.4,0.5,1,2.335,,,Cyber Security,"Session Management Service (Portal/CMS infra), Okta (Token management)."
1.10.1.f,1. Unified digital entry-point,0. Access and navigation,VS1.10.1,Authentication,"As a student, I want fast, efficient and streamlined authentication, not needing to login again if I have already logged-in on this or other University systems, so that I only need to log-in once and I can stay focused and productive without login friction.",Single sign-on,"As a student, I want to sign in once and access other University services without logging in repeatedly, so I can stay focused and avoid authentication interruptions.","A successful login creates a session that is recognised across supported University services.
User does not need to authenticate again when navigating between SSO-enabled services within the same session.
Page transitions between services do not trigger additional login prompts unless required by security policies.",Current State,1,In Progress (Iterative Design),1,3.5,0.4,0.5,1,1.75,,,,"Okta (Policy configuration), Security Governance (Cyber team approval)."
1.04.a,1. Unified digital entry-point,0. Access and navigation,VS1.04,Mobile access,"As a student, I want to access my centralised University information from my mobile so I can receive important and timely updates while on the move. When systems aren’t mobile-friendly, I experience friction, delays, and frustration.",Access via mobile web,"As a student, I want to access a fully responsive, mobile-optimised version of the portal through my mobile browser so that I can complete all essential tasks with the same functionality as desktop, following mobile-first UX best practice.","The entire portal is accessible through modern mobile browsers (iOS/Android).
All desktop features are available on mobile with no functional limitations.
Layout adapts fluidly across common mobile screen sizes and orientations.
Mobile-first best practices are applied.
No horizontal scrolling is required except for purposeful components (e.g., tables).
All forms, interactions, and workflows function correctly in mobile browsers.
Accessibility is maintained on mobile (WCAG-compliant interactions, colours, focus states).",Current State,1,To Do,1,4.5,0.2,0.5,2.5,0.9,,,,Content Management System (Responsive FE Framework eg. React/Next.js).
1.04.b,1. Unified digital entry-point,0. Access and navigation,VS1.04,Mobile access,"As a student, I want to access my centralised University information from my mobile so I can receive important and timely updates while on the move. When systems aren’t mobile-friendly, I experience friction, delays, and frustration.",Access via native mobile app,"As a student, I want a dedicated native mobile app that provides faster performance, secure login via biometrics, and funtionalities that's reasonable under mobile context, so I can access essential university information and services in a seamless, device-integrated experience.","A native app is available for iOS and Android.
The app supports secure authentication using device biometrics (FaceID/TouchID/Fingerprint).
The app uses existing infrastructure for push notifications.
The app features selected key experiences tailored to common mobile usage scenarios.
Critical alerts can be delivered via push notifications when the user opts in.
App maintains session securely using mobile standards (e.g., secure device storage).
Accessibility requirements are met (native screen reader support, contrast, tap targets).",Target State,,To Do,1,4.5,0.2,0.5,2.5,0.9,,,,"Native App Framework (iOS/Android), API Gateway."
1.09.a,1. Unified digital entry-point,0. Access and navigation,VS1.09,Unauthenticated experience,"As a student in a rush, or a first time user, I want to explore the student experience before I need to take action.",Landing page for unauthenticated users,"As a user who is not logged in, I want to see a publicly accessible landing page that previews what the portal can offer, so I can quickly understand its value and know what to expect before deciding to log in.","Unauthenticated users see a public dedicated landing page instead of the authenticated portal.
Content provides a generic, high-level preview of portal features.
Page includes clear calls to action to login.
The landing page highlights benefits in a concise, student-friendly way.
Design follows mobile-first best practices and adapts smoothly to desktop layouts.
If a user logs in successfully from the landing page, they are directed to the authenticated dashboard.",Target State,,To Do,1,3,0.1,0.5,2.5,0.6,,,,
5.05.a,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Ecosystem navigation,"As a student, I can understand how to navigate to and from the student portal and other University digital systems.","Navigation allows access to all other University systems.
Students can move between portals without losing context or requiring multiple logins (SSO applies where relevant).
Navigation uses consistent UI patterns to indicate what system are student using.
Mobile-first and desktop layouts maintain usability and accessibility.",Current State,1,To Do,1,4.5,0.5,0.5,3.11,0.72347,,,,
5.05.b,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Manage content widgets,"As a student, I want pages to support dynamic and personalised widgets so that the content I see is relevant to my studies and interactions.","Topic Landing Pages, Dashboards, and Detail Pages can display dynamic widgets.
Widgets functionalities will be defined in each user story acceptance criteria.
Sensitive information can be hidden based on system configuration setup by student.
Pages maintain mobile-first design and accessibility standards.
Widgets display correctly and are interactable on all supported devices.",Target State,,In Progress (Iterative Design),1,4.5,0.5,0.5,3.11,0.72347,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
