Insight,RICE Prioritisation Type or Other,Epic,User Story (Optional),Source,Score,Insight Confidence,Comment,RICE Score
Early alerts: Is Data being pulled from LMS engagement? Could also link out to MPMP (UG students) or academic skills or other faculty specific assistance,Suggestion,Academic performance and support,,Stakeholder Workshop #4,,0.5,,
"Early alerts: If functionality possible, would be excellent to have a staff-facing view of this too.",Suggestion,Academic performance and support,,Stakeholder Workshop #4,,0.5,,
Develop staff-facing early alert dashboard for academic performance.,Suggestion,Academic performance and support,,Stakeholder Workshop,,0.5,,
The phrase “you may fail” is considered too blunt and potentially triggering. Students suggest reframing to something like “Here’s what you need to pass this subject.”,Requirement,Academic performance and support,,Student Workshop (UG),,0.5,,
Students emphasise the importance of including wellbeing resources alongside academic support in the “at risk” experience.,Requirement,Academic performance and support,,Student Workshop (UG),,0.5,,
Capability assessment (data services integration),Effort (Tech),Authentication,,Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
Need to engage with cyber team to discuss security compliance,Effort (Business),Authentication,Reasonable token life time,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Need to engage with cyber team to discuss security compliance,Effort (Business),Authentication,Okta Fastpass,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Need to engage with cyber team to discuss security compliance,Effort (Business),Authentication,Persist login state in one same session,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Accuracy of real-time ETT & location data accuracy mapping could be challenging. ,Effort (Business),Campus wayfinding,,Stakeholder Workshop #3,Medium,0.5,,3
Could incorporate accessibility requirements in the route suggestion?,Suggestion,Campus wayfinding,,Stakeholder Workshop #3,,0.5,,
medium-high. room attributes may be challenging to maintain. Contextual user reviews of spaces?,Effort (Business),Campus wayfinding,,Stakeholder Workshop #3,High,0.5,,1
Low as locations data and system integration is hard to achieve. Case in example is the recent locations project,Effort (Business),Campus wayfinding,,Stakeholder Workshop #3,Low,0.5,,5
"Locating rooms remains a major pain point. Existing navigation tools are insufficient, particularly for indoor or building-specific guidance.",Requirement,Campus wayfinding,,Student Workshop (PG),,0.5,,
Photos of buildings and directional arrows are helpful for students to remember and navigate campus locations.,Requirement,Campus wayfinding,,Student Workshop (PG),,0.5,,
"Students are enthusiastic about using external navigation apps, but note that these do not currently solve the core issue of room-level wayfinding.",Requirement,Campus wayfinding,,Student Workshop (PG),,0.5,,
Medium - would require much greater centralisation and/or alignment of all University communications,Effort (Business),Check my personal details,,Stakeholder Workshop #2,Medium,0.5,,3
Should be feasible if data is there,Effort (Tech),Check my personal details,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Will need to be updated in real time or could cause additional enquiries ,Effort (Business),"Course progress, assessments, grades and results",,Stakeholder Workshop #4,Medium,0.5,,3
Ensure real-time updates for grades and assessment info.,Requirement,"Course progress, assessments, grades and results",,Stakeholder Workshop,,0.5,,
Students want census dates consolidated in the portal to avoid checking multiple sources.,Requirement,"Course progress, assessments, grades and results",,Student Workshop (UG),,0.5,,
"While students are interested in a unified deadline feature, some prefer to continue using Canvas. To shift behaviour, our platform must offer clear added value beyond Canvas notifications.",Requirement,"Course progress, assessments, grades and results",,Student Workshop (UG),,0.5,,
Subject result breakdown from LMS is not easily obtained but possible,Effort (Tech),"Course progress, assessments, grades and results",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Subject results are not easily available either via studentOne, but possible",Effort (Tech),"Course progress, assessments, grades and results",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Consider to display each enrolled subject's census date,Suggestion,Course summary and LMS links,,Stakeholder Workshop #4,,0.5,,
need to consider students who have LMS block sanctions  and direct students to the correct help,Requirement,Course summary and LMS links,,Stakeholder Workshop #4,,0.5,,
Review further for alignment with eStudent,Effort (Business),Course summary and LMS links,,Stakeholder Workshop #4,Medium,0.5,,3
Include census dates in course summary widgets.,Suggestion,Course summary and LMS links,,Stakeholder Workshop,,0.5,,
"LMS works class level and need to know which class students are in to link properly to the LMS, not impossible but data is not on boomi at the moment - We don’t have LMS info currently, some data required for linking LMS misalignments",Effort (Tech),Course summary and LMS links,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Getting LMS data is doable but work to do, historically not easy to get, APIs not comprehensive, need data layer",Effort (Tech),Course summary and LMS links,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Students expect the system to be accurate, up to date, and personalised — it should correctly recognise completed tasks and not block progress due to system errors or tasks that cannot be completed immediately.",Requirement,General,,Student Workshop (UG),,0.5,,
"Students highlighted the importance of having direct deep links to where actual transactions occur (e.g., study plan, timetable). They see tutorial content as a helpful secondary option, and will only be useful for the first time user.",Requirement,General,,Student Workshop (UG),,0.5,,
Students are cautious of sharing their location data with the university.,Requirement,General,,Student Workshop (PG),,0.5,,
"Students want agency over how sensitive or potentially triggering information is displayed or hidden, for example, deadlines.",Requirement,General,,Student Workshop (PG),,0.5,,
Some students express caution about seeing sensitive content such as WAM or progress on the dashboard or personal info on the portal. They want the ability to hide such information or prefer an added layer of protection.,Requirement,General,,Student Workshop (PG),,0.5,,
"Participants saw value in having a clear, consistent platform within the portal to find who to contact for assistance and access emergency support.",Requirement,Help and support centre,,Stakeholder Workshop #5,,0.5,,
"This requirement for documents is great, but it currently would require synchronisation with Student One, Magento, MyeQuals.  Magento is used across the Uni for many non-document related products, Student One used by multiple Unis and MyeQuals throughout Aus and NZ - so not an easy task",Effort (Business),Manage my records,,Stakeholder Workshop #4,Medium,0.5,,3
"Check with the technology team to determine the feasibility of integrating and pulling data from StudentOne, Magento, and My eQuals.",Requirement,Manage my records,,Stakeholder Workshop,,0.5,,
"Students suggest supporting multiple export methods, including emailing documents to themselves and batch downloading files.",Suggestion,Manage my records,,Student Workshop (PG),,0.5,,
"While filter and search features are popular, students also want the ability to sort the document list for easier navigation and retrieval.",Suggestion,Manage my records,,Student Workshop (PG),,0.5,,
There is clear demand for the ability to apply document directly within the My Records page.,Requirement,Manage my records,Unified access to student's academic documents and invoices,Student Workshop (PG),,0.5,,
"Need to develop a service layer to pull records out from studentOne which may get complex, lots of discovery work needed",Effort (Tech),Manage my records,,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"Records will be in different places, different file formats, making it more work to integrate systems",Effort (Tech),Manage my records,,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
eStudent API is difficult to work with ,Effort (Tech),Manage my records,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Assume feasibility depends on the integration,Effort (Business),New student onboarding experience,,Stakeholder Workshop #2,Medium,0.5,,3
Would this include early steps like offer acceptance and enrolment too?,Others,New student onboarding experience,,Stakeholder Workshop #2,,0.5,,
This may be difficult due to data limitations (e.g. Peer mentoring data not available at the time checklist would launch).,Effort (Business),New student onboarding experience,,Stakeholder Workshop #2,Medium,0.5,,3
Would require specific lower level content changes ,Effort (Business),New student onboarding experience,,Stakeholder Workshop #1,Low,0.5,,5
"Students expressed interest in having more items included in the checklist. Beyond onboarding, several students suggested turning the checklist into an ongoing feature that offers additional recommended actions.",Suggestion,New student onboarding experience,,Student Workshop (UG),,0.5,,
"Even when actions are directly linked, students still find link to the instructional content as second option will be helpful for better understanding and context.",Requirement,New student onboarding experience,Personalised onboarding experience,Student Workshop (UG),,0.5,,
Capability assessment (data services integration),Effort (Tech),New student onboarding experience,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"High - relatively straightforward, and good personalisation would help surface the right service opportunities",Effort (Business),Participation & Engagement,,Stakeholder Workshop #2,High,0.5,,1
"High - relatively straightforward, and good personalisation would help surface the right service opportunities",Effort (Business),Participation & Engagement,,Stakeholder Workshop #4,High,0.5,,1
It would be good if we also considered emergency as a factor in the personalised scheme,Suggestion,Personalised content,,Stakeholder Workshop #5,,0.5,,
